item_id,index_name,index_description,index_publication_date,index_application_period,expiration_time,index_application_deadline,index_execution_timeframe,index_place_of_execution,awarded_number,awarded_name,awarded_place_of_execution,awarded_execution_timeframe,awarded_application_period,awarded_opening_date,awarded_period,awarded_bidders_request,action_number,action_name,contracting_authority_name,contracting_authority_address,contracting_authority_email,brief_description
401516,A0245200500 Ausbau Silozufahrt AM Trockau,Die Autobahn GmbH des Bundes - Niederlassung Nordbayern,05.08.2022,"Aug 5, 2022 until Aug 23, 2022","Aug 23, 2022, 9:30 AM",,15.09.2022 until 30.11.2022,91257 AS Trockau,A0245200500,Ausbau Silozufahrt AM Trockau,91257 AS Trockau,15.09.2022 until 30.11.2022,"Aug 5, 2022 until Aug 23, 2022","Aug 23, 2022, 9:30 AM","Sep 14, 2022","Aug 22, 2022, 9:30 AM",A-02452-00,BAB A9 B\xc3\xb6schungssanierung und Errichtung Betriebszufahrt,Die Autobahn GmbH des Bundes - Niederlassung Nordbayern,Flaschenhofstra\xc3\x9fe 55\n90402 N\xc3\xbcrnberg,Vergabestelle@nby.autobahn.de,There is no further information avaiable.
401515,22-0170 Austausch Grundwasserreinigungsanlage Amalienstraße,Stadt Fürth - Rf. V - Zentrale Vergabestelle,05.08.2022,"Aug 1, 2022 until Aug 24, 2022","Aug 24, 2022, 10:00 AM",,4. Quartal 2022 until 1. Quartal 2023 (Inbetriebnahme),90762 Fürth,22-0170,Austausch Grundwasserreinigungsanlage Amalienstra\xc3\x9fe,90762 F\xc3\xbcrth,4. Quartal 2022 until 1. Quartal 2023 (Inbetriebnahme),"Aug 1, 2022 until Aug 24, 2022",,"Oct 7, 2022","Aug 16, 2022, 10:00 AM",OA,"Amt f\xc3\xbcr Umwelt, Ordnung und Verbraucherschutz",Stadt F\xc3\xbcrth - Rf. V - Zentrale Vergabestelle,Hirschenstra\xc3\x9fe 2\n90762 F\xc3\xbcrth,vergabestelle@fuerth.de,"Die hier ausgeschriebene Ma\xc3\x9fnahme beinhaltet die Neu-Errichtung einer Grundwassersanierungsanlage mit dem Weiterbetrieb der beiden F\xc3\xb6rderbrunnen inkl. Planung, Lieferung / Montage und Wartung."
401514,MH-2020-23-VE-14 VE_14-Elektroarbeiten,Kirchliches Verwaltungsamt Berlin Mitte-Nord,05.08.2022,"Aug 5, 2022 until Sep 5, 2022","Sep 5, 2022, 10:00 AM",,01.11.2022 until 30.09.2023,13089 Berlin,MH-2020-23-VE-14,VE_14-Elektroarbeiten,13089 Berlin,01.11.2022 until 30.09.2023,"Aug 5, 2022 until Sep 5, 2022","Sep 5, 2022, 10:00 AM","Oct 5, 2022","Sep 2, 2022, 3:00 PM",MH-HEI-2020-23,Margaretenhaus,Kirchliches Verwaltungsamt Berlin Mitte-Nord,Klosterstra\xc3\x9fe 66\n10179 Berlin,p.suessenberger@kva-bmn.de,"Margaretenhaus, Romain-Rolland-Stra\xc3\x9fe 52b-c, 13089 BerlinSanierung und Umbau"
401513,3-3-as-21-123 Rahmenvereinbarung über die Lieferung von Dienstkleidung,ZV KD Oberland Zentrale Beschaffungsstelle,05.08.2022,"Aug 5, 2022 until Sep 5, 2022","Sep 5, 2022, 10:00 AM",,not specified,83646 Bad Tölz,3-3-as-21-123,Rahmenvereinbarung \xc3\xbcber die Lieferung von Dienstkleidung,83646 Bad T\xc3\xb6lz,,"Aug 5, 2022 until Sep 5, 2022",,"Dec 30, 2022","Aug 31, 2022, 2:00 PM",Dienstkleidung ZV KD Oberland,Rahmenvereinbarung \xc3\xbcber die Lieferung von Dienstkleidung,ZV KD Oberland Zentrale Beschaffungsstelle,Prof.-Max-Lange-Platz 9\n83646 Bad T\xc3\xb6lz,vergabe@zv-oberland.de,"Der Zweckverband Kommunale Dienste Oberland ersetzt die heutige Uniform durch eine, die dem aktuellen Stand und Design entspricht. Die zuk\xc3\xbcnftigen Uniformteile m\xc3\xbcssen in ein 3-Layer Konzept passen und funktionell (atmungsaktiv, klimaregulierend, antibakteriell, nachhaltig und modisch) sein. -Baseline ist direkt auf der Haut, -Midlayer ist die \xc3\xa4u\xc3\x9fere Schicht, -Outerlayer sch\xc3\xbctzt vor Witterungseinfl\xc3\xbcssen wie Regen,         Schnee oder K\xc3\xa4lte"
401510,O 2022-50 GB Erneuerung von Zaunanlagen im Britzer Garten,Grün Berlin GmbH,05.08.2022,"Aug 5, 2022 until Aug 29, 2022","Aug 29, 2022, 12:00 PM",,01.10.2022 until 31.12.2022,12347 Berlin,O 2022-50 GB,Erneuerung von Zaunanlagen im Britzer Garten,12347 Berlin,01.10.2022 until 31.12.2022,"Aug 5, 2022 until Aug 29, 2022","Aug 29, 2022, 12:00 PM","Sep 28, 2022","Aug 22, 2022, 12:00 PM",07 2022,Britzer Garten,Gr\xc3\xbcn Berlin GmbH,Mariendorfer Damm 1\n12099 Berlin,eVergabe@gruen-berlin.de,Abbau und Neubau von Zaunanlagen in verschiedenen Parkbereich am und im Britzer Garten und Einbau von Toranlagen
401494,"B22020-30349000-001-419-02 Rohr- und Kanalreinigungsarbeiten, Untersuchung Grundleitungen",Land Berlin (Sondervermögen Immobilien des Landes Berlin),05.08.2022,"Aug 5, 2022 until Aug 17, 2022","Aug 17, 2022, 8:50 AM",,19.09.2022 until 31.01.2023,13627 Berlin,B22020-30349000-001-419-02,"Rohr- und Kanalreinigungsarbeiten, Untersuchung Grundleitungen",13627 Berlin,19.09.2022 until 31.01.2023,"Aug 5, 2022 until Aug 17, 2022",,"Sep 16, 2022","Aug 12, 2022, 12:00 PM",B22020-30349000-001,Grundleitungsuntersuchung,Land Berlin (Sonderverm\xc3\xb6gen Immobilien des Landes Berlin),Alexanderstra\xc3\x9fe 3\n10178 Berlin,Einkauf@bim-berlin.de,There is no further information avaiable.
401493,ZB-KD-22-1319000-4122.3 Aktenumzug innerhalb des Gebäudes des Jobcenters Berlin-Spandau,Gebäudemanagement Schleswig-Holstein AöR,05.08.2022,"Aug 5, 2022 until Sep 2, 2022","Sep 2, 2022, 7:30 AM",,not specified,13581 Berlin,ZB-KD-22-1319000-4122.3,Aktenumzug innerhalb des Geb\xc3\xa4udes des Jobcenters Berlin-Spandau,13581 Berlin,,"Aug 5, 2022 until Sep 2, 2022",,"Oct 31, 2022","Aug 26, 2022, 11:59 PM",4122.3-2022,4122.3-2022,Geb\xc3\xa4udemanagement Schleswig-Holstein A\xc3\xb6R,K\xc3\xbcterstra\xc3\x9fe 30\n24103 Kiel,e-vergabe-beschaffung@gmsh.de,There is no further information avaiable.
401492,156201ATT660722 Straßensanierung 2022,Hansestadt Attendorn,05.08.2022,"Aug 5, 2022 until Aug 23, 2022","Aug 23, 2022, 11:00 AM",,spätestens 12 WT nach Zugang des Auftragsschreibens until bis 31.10.2022,57439 Attendorn,156201ATT660722,Stra\xc3\x9fensanierung 2022,57439 Attendorn,sp\xc3\xa4testens 12 WT nach Zugang des Auftragsschreibens until bis 31.10.2022,"Aug 5, 2022 until Aug 23, 2022","Aug 23, 2022, 11:00 AM","Sep 22, 2022","Aug 18, 2022, 11:00 AM",ATT66,Hansestadt Attendorn - Tiefbauamt,Hansestadt Attendorn,K\xc3\xb6lner Stra\xc3\x9fe 12\n57439 Attendorn,vergabe.service@siegen-wittgenstein.de,There is no further information avaiable.
401490,156201DRO-FB21322 Dachdeckerarbeiten Fahrzeughalle,Stadt Drolshagen,05.08.2022,"Aug 5, 2022 until Aug 24, 2022","Aug 24, 2022, 11:00 AM",,siehe Bauzeitenplan until siehe Bauzeitenplan,57489 Drolshagen,156201DRO-FB21322,Dachdeckerarbeiten Fahrzeughalle,57489 Drolshagen,siehe Bauzeitenplan until siehe Bauzeitenplan,"Aug 5, 2022 until Aug 24, 2022","Aug 24, 2022, 11:00 AM","Sep 23, 2022","Aug 19, 2022, 11:00 AM",DRO-FB2,"Stadt Drolshagen - Fachbereich Finanzen, Geb\xc3\xa4udemanagement",Stadt Drolshagen,Hagener Stra\xc3\x9fe 9\n57489 Drolshagen,vergabe.service@siegen-wittgenstein.de,"Erweiterung des Feuerwehrhauses Iseringhausen, Dachdeckerarbeiten"
401488,156201DRO-FB21222 Dachdeckerarbeiten Sozialgebäude,Stadt Drolshagen,05.08.2022,"Aug 5, 2022 until Aug 24, 2022","Aug 24, 2022, 10:00 AM",,siehe Bauzeitenplan until siehe Bauzeitenplan,57489 Drolshagen,156201DRO-FB21222,Dachdeckerarbeiten Sozialgeb\xc3\xa4ude,57489 Drolshagen,siehe Bauzeitenplan until siehe Bauzeitenplan,"Aug 5, 2022 until Aug 24, 2022","Aug 24, 2022, 10:00 AM","Sep 23, 2022","Aug 19, 2022, 10:00 AM",DRO-FB2,"Stadt Drolshagen - Fachbereich Finanzen, Geb\xc3\xa4udemanagement",Stadt Drolshagen,Hagener Stra\xc3\x9fe 9\n57489 Drolshagen,vergabe.service@siegen-wittgenstein.de,"Erweiterung des Feuerwehrhauses Iseringhausen, Dachdeckerarbeiten Sozialgeb\xc3\xa4ude"
